County,PartyName,Proportion
ADAMS,DEMOCRATIC,0.2504010266281681
ADAMS,LIBERTARIAN,0.014076034648700674
ADAMS,REPUBLICAN,0.7355229387231312
ALEXANDER,DEMOCRATIC,0.44756883421206795
ALEXANDER,LIBERTARIAN,0.007615700058582308
ALEXANDER,REPUBLICAN,0.5448154657293497
BOND,DEMOCRATIC,0.32238385734396996
BOND,LIBERTARIAN,0.0217425308931644
BOND,REPUBLICAN,0.6558736117628656
BOONE,DEMOCRATIC,0.40089061429550127
BOONE,LIBERTARIAN,0.01923955240922585
BOONE,REPUBLICAN,0.5798698332952729
BROWN,DEMOCRATIC,0.2076963626779125
BROWN,LIBERTARIAN,0.014760147601476014
BROWN,REPUBLICAN,0.7775434897206115
BUREAU,DEMOCRATIC,0.3968429360694554
BUREAU,LIBERTARIAN,0.01681136543014996
BUREAU,REPUBLICAN,0.5863456985003946
CALHOUN,DEMOCRATIC,0.3384813384813385
CALHOUN,LIBERTARIAN,0.02445302445302445
CALHOUN,REPUBLICAN,0.637065637065637
CARROLL,DEMOCRATIC,0.34251637829665715
CARROLL,LIBERTARIAN,0.018478078279858895
CARROLL,REPUBLICAN,0.6390055434234839
CASS,DEMOCRATIC,0.32044760935910477
CASS,LIBERTARIAN,0.02314343845371312
CASS,REPUBLICAN,0.6564089521871821
CHAMPAIGN,DEMOCRATIC,0.6011741452045903
CHAMPAIGN,LIBERTARIAN,0.018393958167389445
CHAMPAIGN,REPUBLICAN,0.3804318966280202
CHRISTIAN,DEMOCRATIC,0.311266811629218
CHRISTIAN,LIBERTARIAN,0.026576467745832326
CHRISTIAN,REPUBLICAN,0.6621567206249497
CLARK,DEMOCRATIC,0.23432552248258393
CLARK,LIBERTARIAN,0.01440785307156428
CLARK,REPUBLICAN,0.7512666244458518
CLAY,DEMOCRATIC,0.18860031375283248
CLAY,LIBERTARIAN,0.017605020045319855
CLAY,REPUBLICAN,0.7937946662018477
CLINTON,DEMOCRATIC,0.2610167196913288
CLINTON,LIBERTARIAN,0.01726121979286536
CLINTON,REPUBLICAN,0.7217220605158059
COLES,DEMOCRATIC,0.3593133984351307
COLES,LIBERTARIAN,0.01777157760659914
COLES,REPUBLICAN,0.6229150239582701
COOK,DEMOCRATIC,0.7491310101088561
COOK,LIBERTARIAN,0.014066123680910796
COOK,REPUBLICAN,0.23680286621023314
CRAWFORD,DEMOCRATIC,0.24269047961976092
