County,PartyName,Proportion
ADAMS,AMERICAN SOLIDARITY PARTY,0.0009582129328801784
ADAMS,DEMOCRATIC,0.2615322423679837
ADAMS,GREEN,0.003997544579359495
ADAMS,LIBERTARIAN,0.013115539518797443
ADAMS,PARTY FOR SOCIALISM AND LIBERATION,0.0003743019269063197
ADAMS,REPUBLICAN,0.7163390277133147
ADAMS,WILLIE WILSON PARTY,0.003683130960758186
ALEXANDER,DEMOCRATIC,0.45123839009287925
ALEXANDER,GREEN,0.0023219814241486067
ALEXANDER,LIBERTARIAN,0.005804953560371517
ALEXANDER,PARTY FOR SOCIALISM AND LIBERATION,0.0011609907120743034
ALEXANDER,REPUBLICAN,0.5359907120743034
ALEXANDER,WILLIE WILSON PARTY,0.00348297213622291
BOND,AMERICAN SOLIDARITY PARTY,0.0013581923694283246
BOND,DEMOCRATIC,0.3088035559945672
BOND,GREEN,0.00648228176318064
BOND,LIBERTARIAN,0.019261637239165328
BOND,PARTY FOR SOCIALISM AND LIBERATION,0.0006173601679219657
BOND,REPUBLICAN,0.6597110754414125
BOND,WILLIE WILSON PARTY,0.0037658970243239906
BOONE,AMERICAN SOLIDARITY PARTY,0.0005237606011160129
BOONE,DEMOCRATIC,0.41562418162406073
BOONE,GREEN,0.008057855401784815
BOONE,LIBERTARIAN,0.01553151628694023
BOONE,PARTY FOR SOCIALISM AND LIBERATION,0.0004431820470981648
BOONE,REPUBLICAN,0.5532120626095365
BOONE,WILLIE WILSON PARTY,0.006607441429463548
BROWN,AMERICAN SOLIDARITY PARTY,0.007787539936102236
BROWN,DEMOCRATIC,0.22384185303514376
BROWN,GREEN,0.005191693290734824
BROWN,LIBERTARIAN,0.01597444089456869
BROWN,PARTY FOR SOCIALISM AND LIBERATION,0.001597444089456869
BROWN,REPUBLICAN,0.7424121405750799
BROWN,WILLIE WILSON PARTY,0.003194888178913738
BUREAU,AMERICAN SOLIDARITY PARTY,0.0010670511896178803
BUREAU,DEMOCRATIC,0.3964816149963951
BUREAU,GREEN,0.006402307137707282
BUREAU,LIBERTARIAN,0.013496755587599135
BUREAU,PARTY FOR SOCIALISM AND LIBERATION,0.0003749098774333093
BUREAU,REPUBLICAN,0.5738428262436914
BUREAU,WILLIE WILSON PARTY,0.008334534967555877
CALHOUN,AMERICAN SOLIDARITY PARTY,0.0007320644216691069
CALHOUN,DEMOCRATIC,0.2941068814055637
CALHOUN,GREEN,0.004758418740849195
CALHOUN,LIBERTARIAN,0.012079062957540264
CALHOUN,PARTY FOR SOCIALISM AND LIBERATION,0.00018301610541727673
CALHOUN,REPUBLICAN,0.6850292825768668
CALHOUN,WILLIE WILSON PARTY,0.0031112737920937043
CARROLL,AMERICAN SOLIDARITY PARTY,0.0006901744259003639
CARROLL,DEMOCRATIC,0.35029489270924835
CARROLL,GREEN,0.005019450370184465
CARROLL,LIBERTARIAN,0.013678002258752667
CARROLL,PARTY FOR SOCIALISM AND LIBERATION,0.0006274312962730581
CARROLL,REPUBLICAN,0.6239804241435563
CARROLL,WILLIE WILSON PARTY,0.005709624796084829
CASS,AMERICAN SOLIDARITY PARTY,0.0005688282138794084
CASS,DEMOCRATIC,0.3296359499431172
CASS,GREEN,0.004835039817974972
CASS,LIBERTARIAN,0.00919605612438377
CASS,PARTY FOR SOCIALISM AND LIBERATION,0.0003792188092529389
CASS,REPUBLICAN,0.6527303754266212
CASS,WILLIE WILSON PARTY,0.0026545316647705727
CHAMPAIGN,AMERICAN SOLIDARITY PARTY,0.0015172028679348657
CHAMPAIGN,DEMOCRATIC,0.5915352723326467
CHAMPAIGN,GREEN,0.010083077393150461
CHAMPAIGN,LIBERTARIAN,0.016088672078725972
CHAMPAIGN,PARTY FOR SOCIALISM AND LIBERATION,0.0012327273301970783
CHAMPAIGN,REPUBLICAN,0.37171997070955576
CHAMPAIGN,WILLIE WILSON PARTY,0.007823077287789151
CHRISTIAN,AMERICAN SOLIDARITY PARTY,0.0007148184982595724
CHRISTIAN,DEMOCRATIC,0.2862071108901044
CHRISTIAN,GREEN,0.006246892093485828
CHRISTIAN,LIBERTARIAN,0.01333291894579811
CHRISTIAN,PARTY FOR SOCIALISM AND LIBERATION,0.0002486325211337643
CHRISTIAN,REPUBLICAN,0.686163600198906
CHRISTIAN,WILLIE WILSON PARTY,0.007086026852312283
CLARK,AMERICAN SOLIDARITY PARTY,0.0005420707101126302
CLARK,DEMOCRATIC,0.24543757152321868
CLARK,GREEN,0.004758176233210866
CLARK,LIBERTARIAN,0.012166475938083478
CLARK,PARTY FOR SOCIALISM AND LIBERATION,0.0003011503945070168
CLARK,REPUBLICAN,0.7326989098355718
CLARK,WILLIE WILSON PARTY,0.004095645365295429
CLAY,AMERICAN SOLIDARITY PARTY,0.0007359434795407713
CLAY,DEMOCRATIC,0.17839269944068295
CLAY,GREEN,0.0047100382690609364
CLAY,LIBERTARIAN,0.012216661760376803
CLAY,PARTY FOR SOCIALISM AND LIBERATION,0.00029437739181630853
CLAY,REPUBLICAN,0.8009272887842214
CLAY,WILLIE WILSON PARTY,0.0027229908743008537
CLINTON,AMERICAN SOLIDARITY PARTY,0.0006027253668763103
CLINTON,DEMOCRATIC,0.25738993710691827
CLINTON,GREEN,0.004795597484276729
CLINTON,LIBERTARIAN,0.014072327044025158
CLINTON,PARTY FOR SOCIALISM AND LIBERATION,0.00039308176100628933
CLINTON,REPUBLICAN,0.7197589098532495
CLINTON,WILLIE WILSON PARTY,0.002987421383647799
COLES,AMERICAN SOLIDARITY PARTY,0.0007789028596862134
COLES,DEMOCRATIC,0.36063202403471684
COLES,GREEN,0.008256370312673861
COLES,LIBERTARIAN,0.013664181595638144
COLES,PARTY FOR SOCIALISM AND LIBERATION,0.0006453766551685769
COLES,REPUBLICAN,0.6101257371759208
COLES,WILLIE WILSON PARTY,0.005897407366195616
COOK,AMERICAN SOLIDARITY PARTY,0.0006690307923319746
COOK,DEMOCRATIC,0.7157996230006064
COOK,GREEN,0.008093429228469787
COOK,LIBERTARIAN,0.008750749271114265
COOK,PARTY FOR SOCIALISM AND LIBERATION,0.0008969566797682486
COOK,REPUBLICAN,0.22929279216368678
COOK,WILLIE WILSON PARTY,0.03649741886402258
CRAWFORD,AMERICAN SOLIDARITY PARTY,0.00042684878881656173
CRAWFORD,DEMOCRATIC,0.244691068189094
CRAWFORD,GREEN,0.00496211716999253
CRAWFORD,LIBERTARIAN,0.012858819763098921
CRAWFORD,PARTY FOR SOCIALISM AND LIBERATION,0.0005335609860207021
CRAWFORD,REPUBLICAN,0.7324191655106178
CRAWFORD,WILLIE WILSON PARTY,0.004108419592359407
CUMBERLAND,AMERICAN SOLIDARITY PARTY,0.00025850926324859976
CUMBERLAND,DEMOCRATIC,0.21533821628608357
CUMBERLAND,GREEN,0.004911676001723395
CUMBERLAND,LIBERTARIAN,0.012063765618267988
CUMBERLAND,PARTY FOR SOCIALISM AND LIBERATION,8.616975441619992e-05
CUMBERLAND,REPUBLICAN,0.762516156828953
CUMBERLAND,WILLIE WILSON PARTY,0.004825506247307195
DOUGLAS,AMERICAN SOLIDARITY PARTY,0.0005758046870501526
DOUGLAS,DEMOCRATIC,0.27805608337651866
DOUGLAS,GREEN,0.007255139056831923
DOUGLAS,LIBERTARIAN,0.013301088270858524
DOUGLAS,PARTY FOR SOCIALISM AND LIBERATION,0.00023032187482006103
DOUGLAS,REPUBLICAN,0.6962054471123394
DOUGLAS,WILLIE WILSON PARTY,0.00437611562158116
DeKALB,AMERICAN SOLIDARITY PARTY,0.001080854189621701
DeKALB,DEMOCRATIC,0.5043916260034629
DeKALB,GREEN,0.009727687706595309
DeKALB,LIBERTARIAN,0.017776378613778267
DeKALB,PARTY FOR SOCIALISM AND LIBERATION,0.0005666614198016685
DeKALB,REPUBLICAN,0.45231124403169104
DeKALB,WILLIE WILSON PARTY,0.014145548035049058
DeWITT,AMERICAN SOLIDARITY PARTY,0.0007535795026375283
DeWITT,DEMOCRATIC,0.2915096709369505
DeWITT,GREEN,0.007221803566942979
DeWITT,LIBERTARIAN,0.019467470484802813
DeWITT,PARTY FOR SOCIALISM AND LIBERATION,0.00018839487565938207
DeWITT,REPUBLICAN,0.6764632002009545
DeWITT,WILLIE WILSON PARTY,0.004395880432052249
DuPAGE,AMERICAN SOLIDARITY PARTY,0.0011508691384376874
DuPAGE,DEMOCRATIC,0.5637122187208735
DuPAGE,GREEN,0.0068370916349876605
DuPAGE,LIBERTARIAN,0.012347845294287044
DuPAGE,PARTY FOR SOCIALISM AND LIBERATION,0.0003891279508439535
DuPAGE,REPUBLICAN,0.40292805880889687
DuPAGE,WILLIE WILSON PARTY,0.012634788451673302
